	Method	BFGS_LS(suc)	BFGS_LS(time)	BFGS_LS(nit)	DFP_LS(suc)	DFP_LS(time)	DFP_LS(nit)	PSB_LS(suc)	PSB_LS(time)	PSB_LS(nit)	SR1_LS(suc)	SR1_LS(time)	SR1_LS(nit)	BFGS_TR(suc)	BFGS_TR(time)	BFGS_TR(nit)	DFP_TR(suc)	DFP_TR(time)	DFP_TR(nit)	PSB_TR(suc)	PSB_TR(time)	PSB_TR(nit)	SR1_TR(suc)	SR1_TR(time)	SR1_TR(nit)
3	Shekel07	0.1	0.04807128998750812	48.3	0.03	0.2663216174481458	548.15	0.0	0.004709300908423586	1.13	0.0	0.00614793822743195	1.98	0.0	0.0862082346033624	38.81	0.0	0.08315533073417328	30.21	0.0	0.09569089169787448	30.22	0.0	0.10954825185411353	70.15
4	Price01	0.27	0.04572255798608496	222.1	0.23	0.00855985740976223	6.63	0.29	0.00789357390304673	6.25	0.2	0.007740284265339028	5.64	0.29	0.03479191121978687	157.27	0.18	0.04057828073222993	182.7	0.27	0.033807549362845746	167.35	0.22	0.0304801644166713	117.03
5	Price02	0.04	0.07258003916271093	345.11	0.01	0.017662356544872467	22.01	0.0	0.011852154996753086	7.96	0.0	0.010072813219359772	5.81	0.05	0.03510085958684641	158.01	0.02	0.03196829608000769	135.85	0.04	0.03412124446588507	146.12	0.01	0.03840023023807703	124.31
6	Price03	0.17	0.01516957607371495	38.85	0.12	0.05170599829203013	319.26	0.0	0.0044713141060603355	20.32	0.22	0.005714338863066928	26.43	0.33	0.033123925302626284	47.01	0.2	0.032361851808614686	82.95	0.26	0.021516235761394286	49.12	0.0	0.08966402517224083	400.0
7	Deceptive	0.01	0.034188271798957434	92.52	0.03	0.014700072569468146	1.41	0.01	0.01431657906586764	1.4	0.02	0.013877056972376069	1.54	0.0	0.025348220123680675	54.74	0.03	0.026128985494232496	55.36	0.0	0.028527160523919976	65.66	0.0	0.0246490430195405	52.79
8	Chichinadze	0.03	0.06801825911106021	223.29	0.02	0.017046529558695057	20.02	0.0	0.0114828717667163	6.5	0.03	0.013543562421078265	6.92	0.0	0.027901318352462283	88.78	0.0	0.03130872642507967	116.81	0.0	0.03211663371747818	104.22	0.0	0.033000296350273864	100.57
9	Deb02	0.04	0.023501658577973216	42.88	0.01	0.018446598578800603	15.89	0.02	0.014164127590551629	3.91	0.03	0.0139613949245836	2.93	0.04	0.048715422059664205	212.87	0.06	0.050485124969583815	213.83	0.04	0.047371702354854515	224.19	0.01	0.04721207945950539	205.04
10	Shubert03	0.0	0.05921556553082893	181.29	0.01	0.019501588446015603	11.55	0.0	0.018820320648429173	10.5	0.01	0.015480448793196046	8.76	0.0	0.029895447794668826	68.42	0.0	0.033552038124415734	85.14	0.0	0.031420343141969065	83.13	0.0	0.02608373755424793	30.99
11	Weierstrass	0.0	0.03176379300980955	3.26	0.0	0.03382325635496045	3.47	0.0	0.035547852444077536	3.46	0.0	0.031250281703815413	3.48	0.0	0.04065526765818163	36.49	0.0	0.04303653832091527	40.19	0.0	0.04264685267884944	36.5	0.0	0.0421245363914312	36.23
12	SineEnvelope	0.0	0.10922868106167756	364.54	0.0	0.020330543877585115	6.93	0.0	0.019127498611260303	6.69	0.0	0.01894867923140225	6.72	0.0	0.057506518209291924	281.95	0.0	0.06522170464268867	331.58	0.0	0.08523169416994278	323.86	0.0	0.0246430176582885	24.79
